snapshot_date,total_downloads,maps,mods,total_downloads_signed,maps_signed,mods_signed,total_downloads_clamped,maps_clamped,mods_clamped,cumulative_total,cumulative_maps,cumulative_mods,total_new_assets,new_maps,new_mods,cumulative_assets,cumulative_maps_assets,cumulative_mods_assets,total_new_assets_versions,new_maps_versions,new_mods_versions,cumulative_asset_versions,cumulative_maps_versions,cumulative_mods_versions
2026_05_20,778,551,227,781,554,227,778,551,227,69316,46564,22752,0,0,0,197,179,18,0,0,0,467,386,81
2026_05_21,676,469,207,676,469,207,676,469,207,69992,47033,22959,2,2,0,199,181,18,2,2,0,469,388,81
2026_05_22,607,377,230,607,377,230,607,377,230,70599,47410,23189,1,0,1,200,181,19,1,0,1,470,388,82
2026_05_23,753,507,246,755,509,246,753,507,246,71352,47917,23435,1,1,0,201,182,19,2,1,1,472,389,83
2026_05_24,882,571,311,883,572,311,882,571,311,72234,48488,23746,7,7,0,208,189,19,9,7,2,481,396,85
2026_05_25,924,582,342,927,585,342,924,582,342,73158,49070,24088,1,1,0,209,190,19,11,7,4,492,403,89
2026_05_26,853,468,385,854,469,385,853,468,385,74011,49538,24473,0,0,0,209,190,19,0,0,0,492,403,89
2026_05_27,644,365,279,645,366,279,644,365,279,74655,49903,24752,0,0,0,209,190,19,2,0,2,494,403,91
2026_05_28,849,462,387,852,465,387,849,462,387,75504,50365,25139,0,0,0,209,190,19,0,0,0,494,403,91
2026_05_29,720,408,312,721,409,312,720,408,312,76224,50773,25451,2,2,0,211,192,19,4,2,2,498,405,93
2026_05_30,723,427,296,724,428,296,723,427,296,76947,51200,25747,1,1,0,212,193,19,1,1,0,499,406,93
2026_05_31,874,562,312,877,565,312,874,562,312,77821,51762,26059,0,0,0,212,193,19,2,2,0,501,408,93
2026_06_01,989,609,380,995,615,380,989,609,380,78810,52371,26439,2,1,1,214,194,20,6,5,1,507,413,94
2026_06_02,940,692,248,940,692,248,940,692,248,79750,53063,26687,8,8,0,222,202,20,28,27,1,535,440,95
2026_06_03,957,609,348,957,609,348,957,609,348,80707,53672,27035,1,0,1,223,202,21,9,6,3,544,446,98
2026_06_04,820,574,246,820,574,246,820,574,246,81527,54246,27281,0,0,0,223,202,21,0,0,0,544,446,98
2026_06_05,805,447,358,805,447,358,805,447,358,82332,54693,27639,0,0,0,223,202,21,1,0,1,545,446,99
2026_06_06,739,464,275,741,466,275,739,464,275,83071,55157,27914,1,0,1,224,202,22,2,1,1,547,447,100
2026_06_07,863,523,340,864,524,340,863,523,340,83934,55680,28254,1,0,1,225,202,23,1,0,1,548,447,101
2026_06_08,1109,666,443,1109,666,443,1109,666,443,85043,56346,28697,1,0,1,226,202,24,1,0,1,549,447,102
2026_06_09,827,458,369,827,458,369,827,458,369,85870,56804,29066,0,0,0,226,202,24,0,0,0,549,447,102
2026_06_10,690,347,343,692,349,343,690,347,343,86560,57151,29409,0,0,0,226,202,24,0,0,0,549,447,102
2026_06_11,814,452,362,815,453,362,814,452,362,87374,57603,29771,0,0,0,226,202,24,0,0,0,549,447,102
2026_06_12,755,400,355,756,401,355,755,400,355,88129,58003,30126,4,4,0,230,206,24,6,4,2,555,451,104
2026_06_13,1001,672,329,1005,676,329,1001,672,329,89130,58675,30455,7,7,0,237,213,24,10,7,3,565,458,107
2026_06_14,764,362,402,764,362,402,764,362,402,89894,59037,30857,0,0,0,237,213,24,1,0,1,566,458,108
2026_06_15,1038,601,437,1039,602,437,1038,601,437,90932,59638,31294,1,0,1,238,213,25,1,0,1,567,458,109
2026_06_16,696,306,390,697,307,390,696,306,390,91628,59944,31684,0,0,0,238,213,25,1,0,1,568,458,110
2026_06_17,636,337,299,636,337,299,636,337,299,92264,60281,31983,1,1,0,239,214,25,1,1,0,569,459,110
2026_06_18,722,387,335,722,387,335,722,387,335,92986,60668,32318,3,3,0,242,217,25,13,12,1,582,471,111
2026_06_19,918,497,421,919,498,421,918,497,421,93904,61165,32739,2,0,2,244,217,27,6,1,5,588,472,116
2026_06_20,902,493,409,903,494,409,902,493,409,94806,61658,33148,0,0,0,244,217,27,2,0,2,590,472,118
2026_06_21,897,420,477,898,421,477,897,420,477,95703,62078,33625,0,0,0,244,217,27,2,1,1,592,473,119
2026_06_22,1087,520,567,1038,471,567,1087,520,567,96790,62598,34192,0,0,0,244,217,27,4,1,3,596,474,122
2026_06_23,693,337,356,694,338,356,693,337,356,97483,62935,34548,0,0,0,244,217,27,1,0,1,597,474,123
2026_06_24,911,471,440,911,471,440,911,471,440,98394,63406,34988,0,0,0,244,217,27,1,0,1,598,474,124
2026_06_25,802,338,464,802,338,464,802,338,464,99196,63744,35452,0,0,0,244,217,27,1,0,1,599,474,125
2026_06_26,796,397,399,796,397,399,796,397,399,99992,64141,35851,1,1,0,245,218,27,1,1,0,600,475,125
2026_06_27,907,446,461,909,448,461,907,446,461,100899,64587,36312,0,0,0,245,218,27,1,0,1,601,475,126
2026_06_28,1014,595,419,1032,613,419,1014,595,419,101913,65182,36731,0,0,0,245,218,27,1,1,0,602,476,126
2026_06_29,981,590,391,1016,625,391,981,590,391,102894,65772,37122,0,0,0,245,218,27,1,1,0,603,477,126
2026_06_30,1002,359,643,1025,382,643,1002,359,643,103896,66131,37765,0,0,0,245,218,27,2,1,1,605,478,127
2026_07_01,1496,656,840,1303,463,840,1496,656,840,105392,66787,38605,0,0,0,245,218,27,1,1,0,606,479,127
2026_07_02,852,351,501,1064,563,501,852,351,501,106244,67138,39106,2,1,1,247,219,28,2,1,1,608,480,128
2026_07_03,770,270,500,779,279,500,770,270,500,107014,67408,39606,0,0,0,247,219,28,0,0,0,608,480,128
2026_07_04,878,404,474,878,404,474,878,404,474,107892,67812,40080,3,3,0,250,222,28,5,3,2,613,483,130
2026_07_05,739,332,407,740,333,407,739,332,407,108631,68144,40487,0,0,0,250,222,28,1,1,0,614,484,130
2026_07_06,1060,518,542,1060,518,542,1060,518,542,109691,68662,41029,0,0,0,250,222,28,0,0,0,614,484,130
