rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,194,194,1453,1453,1259,1259,snapshot_2026_07_06.json,snapshot_2026_07_03.json
2,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,179,179,302,302,123,123,snapshot_2026_07_06.json,snapshot_2026_07_03.json
3,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,163,163,2190,2190,2027,2027,snapshot_2026_07_06.json,snapshot_2026_07_03.json
4,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,117,117,3512,3512,3395,3395,snapshot_2026_07_06.json,snapshot_2026_07_03.json
5,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,117,117,182,182,65,65,snapshot_2026_07_06.json,snapshot_2026_07_03.json
6,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,111,111,8348,8348,8237,8237,snapshot_2026_07_06.json,snapshot_2026_07_03.json
7,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,75,75,75,75,0,0,snapshot_2026_07_06.json,snapshot_2026_07_03.json
8,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,61,61,1148,1148,1087,1087,snapshot_2026_07_06.json,snapshot_2026_07_03.json
9,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,61,61,552,552,491,491,snapshot_2026_07_06.json,snapshot_2026_07_03.json
10,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,59,59,2034,2034,1975,1975,snapshot_2026_07_06.json,snapshot_2026_07_03.json
11,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,57,57,263,263,206,206,snapshot_2026_07_06.json,snapshot_2026_07_03.json
12,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,55,55,2484,2484,2429,2429,snapshot_2026_07_06.json,snapshot_2026_07_03.json
13,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,54,54,3055,3055,3001,3001,snapshot_2026_07_06.json,snapshot_2026_07_03.json
14,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,54,54,484,484,430,430,snapshot_2026_07_06.json,snapshot_2026_07_03.json
15,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,53,53,2209,2209,2156,2156,snapshot_2026_07_06.json,snapshot_2026_07_03.json
16,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,52,52,1831,1831,1779,1779,snapshot_2026_07_06.json,snapshot_2026_07_03.json
17,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,50,50,492,492,442,442,snapshot_2026_07_06.json,snapshot_2026_07_03.json
18,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,49,49,1610,1610,1561,1561,snapshot_2026_07_06.json,snapshot_2026_07_03.json
19,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,41,41,1469,1469,1428,1428,snapshot_2026_07_06.json,snapshot_2026_07_03.json
20,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,38,38,315,315,277,277,snapshot_2026_07_06.json,snapshot_2026_07_03.json
21,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,36,36,1020,1020,984,984,snapshot_2026_07_06.json,snapshot_2026_07_03.json
22,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,34,34,457,457,423,423,snapshot_2026_07_06.json,snapshot_2026_07_03.json
23,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,33,33,459,459,426,426,snapshot_2026_07_06.json,snapshot_2026_07_03.json
24,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,32,32,1807,1807,1775,1775,snapshot_2026_07_06.json,snapshot_2026_07_03.json
25,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,32,32,1178,1178,1146,1146,snapshot_2026_07_06.json,snapshot_2026_07_03.json
26,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,28,28,1312,1312,1284,1284,snapshot_2026_07_06.json,snapshot_2026_07_03.json
27,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,27,27,256,256,229,229,snapshot_2026_07_06.json,snapshot_2026_07_03.json
28,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,23,23,2042,2042,2019,2019,snapshot_2026_07_06.json,snapshot_2026_07_03.json
