rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
29,map,yukina-lv-daugavpils,Daugavpils,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,22,22,22,22,0,0,snapshot_2026_07_06.json,snapshot_2026_07_03.json
30,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,21,21,1850,1850,1829,1829,snapshot_2026_07_06.json,snapshot_2026_07_03.json
31,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,20,20,2008,2008,1988,1988,snapshot_2026_07_06.json,snapshot_2026_07_03.json
32,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,20,20,1001,1001,981,981,snapshot_2026_07_06.json,snapshot_2026_07_03.json
33,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,19,19,1139,1139,1120,1120,snapshot_2026_07_06.json,snapshot_2026_07_03.json
34,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,18,18,1985,1985,1967,1967,snapshot_2026_07_06.json,snapshot_2026_07_03.json
35,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,17,17,549,549,532,532,snapshot_2026_07_06.json,snapshot_2026_07_03.json
36,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,17,17,522,522,505,505,snapshot_2026_07_06.json,snapshot_2026_07_03.json
37,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,16,16,1054,1054,1038,1038,snapshot_2026_07_06.json,snapshot_2026_07_03.json
38,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,16,16,914,914,898,898,snapshot_2026_07_06.json,snapshot_2026_07_03.json
39,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,15,15,1568,1568,1553,1553,snapshot_2026_07_06.json,snapshot_2026_07_03.json
40,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,14,14,2884,2884,2870,2870,snapshot_2026_07_06.json,snapshot_2026_07_03.json
41,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,14,14,1345,1345,1331,1331,snapshot_2026_07_06.json,snapshot_2026_07_03.json
42,map,yukina-lv-liepaja,Liepāja,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,14,14,0,0,snapshot_2026_07_06.json,snapshot_2026_07_03.json
43,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,13,13,1393,1393,1380,1380,snapshot_2026_07_06.json,snapshot_2026_07_03.json
44,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,322,322,309,309,snapshot_2026_07_06.json,snapshot_2026_07_03.json
45,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,12,12,1358,1358,1346,1346,snapshot_2026_07_06.json,snapshot_2026_07_03.json
46,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,12,12,1158,1158,1146,1146,snapshot_2026_07_06.json,snapshot_2026_07_03.json
47,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,12,12,538,538,526,526,snapshot_2026_07_06.json,snapshot_2026_07_03.json
48,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,11,11,963,963,952,952,snapshot_2026_07_06.json,snapshot_2026_07_03.json
49,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,11,11,420,420,409,409,snapshot_2026_07_06.json,snapshot_2026_07_03.json
50,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,10,10,1209,1209,1199,1199,snapshot_2026_07_06.json,snapshot_2026_07_03.json
51,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,10,10,330,330,320,320,snapshot_2026_07_06.json,snapshot_2026_07_03.json
52,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,9,9,1121,1121,1112,1112,snapshot_2026_07_06.json,snapshot_2026_07_03.json
53,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,9,9,996,996,987,987,snapshot_2026_07_06.json,snapshot_2026_07_03.json
54,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,9,9,945,945,936,936,snapshot_2026_07_06.json,snapshot_2026_07_03.json
55,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,9,9,595,595,586,586,snapshot_2026_07_06.json,snapshot_2026_07_03.json
56,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,9,9,346,346,337,337,snapshot_2026_07_06.json,snapshot_2026_07_03.json
57,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,8,8,864,864,856,856,snapshot_2026_07_06.json,snapshot_2026_07_03.json
58,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,8,8,729,729,721,721,snapshot_2026_07_06.json,snapshot_2026_07_03.json
59,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,8,8,617,617,609,609,snapshot_2026_07_06.json,snapshot_2026_07_03.json
60,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,8,8,456,456,448,448,snapshot_2026_07_06.json,snapshot_2026_07_03.json
61,map,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,8,8,285,285,277,277,snapshot_2026_07_06.json,snapshot_2026_07_03.json
62,map,mfn-msy,New Orleans,crumpetime,muffintime,https://github.com/crumpetime,8,8,111,111,103,103,snapshot_2026_07_06.json,snapshot_2026_07_03.json
63,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,7,7,746,746,739,739,snapshot_2026_07_06.json,snapshot_2026_07_03.json
64,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,7,7,574,574,567,567,snapshot_2026_07_06.json,snapshot_2026_07_03.json
65,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,7,7,545,545,538,538,snapshot_2026_07_06.json,snapshot_2026_07_03.json
66,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,7,7,355,355,348,348,snapshot_2026_07_06.json,snapshot_2026_07_03.json
67,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,940,940,934,934,snapshot_2026_07_06.json,snapshot_2026_07_03.json
68,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,6,6,921,921,915,915,snapshot_2026_07_06.json,snapshot_2026_07_03.json
69,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,6,6,504,504,498,498,snapshot_2026_07_06.json,snapshot_2026_07_03.json
70,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,335,335,329,329,snapshot_2026_07_06.json,snapshot_2026_07_03.json
71,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,6,6,333,333,327,327,snapshot_2026_07_06.json,snapshot_2026_07_03.json
72,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,6,6,317,317,311,311,snapshot_2026_07_06.json,snapshot_2026_07_03.json
73,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,309,309,303,303,snapshot_2026_07_06.json,snapshot_2026_07_03.json
74,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,6,6,258,258,252,252,snapshot_2026_07_06.json,snapshot_2026_07_03.json
75,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,219,219,213,213,snapshot_2026_07_06.json,snapshot_2026_07_03.json
76,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,207,207,201,201,snapshot_2026_07_06.json,snapshot_2026_07_03.json
77,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,127,127,121,121,snapshot_2026_07_06.json,snapshot_2026_07_03.json
78,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,5,5,1182,1182,1177,1177,snapshot_2026_07_06.json,snapshot_2026_07_03.json
79,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,618,618,613,613,snapshot_2026_07_06.json,snapshot_2026_07_03.json
80,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,5,5,512,512,507,507,snapshot_2026_07_06.json,snapshot_2026_07_03.json
81,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,5,5,490,490,485,485,snapshot_2026_07_06.json,snapshot_2026_07_03.json
82,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,5,5,413,413,408,408,snapshot_2026_07_06.json,snapshot_2026_07_03.json
83,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,5,5,276,276,271,271,snapshot_2026_07_06.json,snapshot_2026_07_03.json
84,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,5,5,269,269,264,264,snapshot_2026_07_06.json,snapshot_2026_07_03.json
85,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,5,5,170,170,165,165,snapshot_2026_07_06.json,snapshot_2026_07_03.json
86,map,bergen-stavanger-no,Bergen-Stavanger,rslurry,slurry,https://github.com/rslurry,5,5,103,103,98,98,snapshot_2026_07_06.json,snapshot_2026_07_03.json
87,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,99,99,94,94,snapshot_2026_07_06.json,snapshot_2026_07_03.json
88,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,4,4,743,743,739,739,snapshot_2026_07_06.json,snapshot_2026_07_03.json
89,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,4,4,662,662,658,658,snapshot_2026_07_06.json,snapshot_2026_07_03.json
90,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,4,4,609,609,605,605,snapshot_2026_07_06.json,snapshot_2026_07_03.json
91,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,4,4,509,509,505,505,snapshot_2026_07_06.json,snapshot_2026_07_03.json
92,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,4,4,424,424,420,420,snapshot_2026_07_06.json,snapshot_2026_07_03.json
93,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,4,4,419,419,415,415,snapshot_2026_07_06.json,snapshot_2026_07_03.json
94,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,4,4,392,392,388,388,snapshot_2026_07_06.json,snapshot_2026_07_03.json
95,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,4,4,325,325,321,321,snapshot_2026_07_06.json,snapshot_2026_07_03.json
96,map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,4,4,248,248,244,244,snapshot_2026_07_06.json,snapshot_2026_07_03.json
97,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,4,4,169,169,165,165,snapshot_2026_07_06.json,snapshot_2026_07_03.json
98,map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,142,142,138,138,snapshot_2026_07_06.json,snapshot_2026_07_03.json
99,mod,copy-paste,Copy Paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,4,4,63,63,59,59,snapshot_2026_07_06.json,snapshot_2026_07_03.json
100,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,495,495,492,492,snapshot_2026_07_06.json,snapshot_2026_07_03.json
101,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,489,489,486,486,snapshot_2026_07_06.json,snapshot_2026_07_03.json
102,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,3,3,458,458,455,455,snapshot_2026_07_06.json,snapshot_2026_07_03.json
103,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,3,3,444,444,441,441,snapshot_2026_07_06.json,snapshot_2026_07_03.json
104,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,3,3,314,314,311,311,snapshot_2026_07_06.json,snapshot_2026_07_03.json
105,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,3,3,243,243,240,240,snapshot_2026_07_06.json,snapshot_2026_07_03.json
106,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,230,230,227,227,snapshot_2026_07_06.json,snapshot_2026_07_03.json
107,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,3,3,213,213,210,210,snapshot_2026_07_06.json,snapshot_2026_07_03.json
108,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,192,192,189,189,snapshot_2026_07_06.json,snapshot_2026_07_03.json
109,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,191,191,188,188,snapshot_2026_07_06.json,snapshot_2026_07_03.json
110,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,3,3,163,163,160,160,snapshot_2026_07_06.json,snapshot_2026_07_03.json
111,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,159,159,156,156,snapshot_2026_07_06.json,snapshot_2026_07_03.json
112,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,3,3,156,156,153,153,snapshot_2026_07_06.json,snapshot_2026_07_03.json
113,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,3,3,136,136,133,133,snapshot_2026_07_06.json,snapshot_2026_07_03.json
114,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,135,135,132,132,snapshot_2026_07_06.json,snapshot_2026_07_03.json
115,map,tromso-no,Tromsø,rslurry,slurry,https://github.com/rslurry,3,3,93,93,90,90,snapshot_2026_07_06.json,snapshot_2026_07_03.json
116,map,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,3,3,71,71,68,68,snapshot_2026_07_06.json,snapshot_2026_07_03.json
117,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,2,2,485,485,483,483,snapshot_2026_07_06.json,snapshot_2026_07_03.json
118,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,2,2,318,318,316,316,snapshot_2026_07_06.json,snapshot_2026_07_03.json
119,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,2,2,305,305,303,303,snapshot_2026_07_06.json,snapshot_2026_07_03.json
120,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,2,2,267,267,265,265,snapshot_2026_07_06.json,snapshot_2026_07_03.json
121,map,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,2,2,203,203,201,201,snapshot_2026_07_06.json,snapshot_2026_07_03.json
122,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,2,2,199,199,197,197,snapshot_2026_07_06.json,snapshot_2026_07_03.json
123,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,2,2,183,183,181,181,snapshot_2026_07_06.json,snapshot_2026_07_03.json
124,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,2,2,179,179,177,177,snapshot_2026_07_06.json,snapshot_2026_07_03.json
125,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,2,2,158,158,156,156,snapshot_2026_07_06.json,snapshot_2026_07_03.json
126,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,2,2,145,145,143,143,snapshot_2026_07_06.json,snapshot_2026_07_03.json
127,map,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,2,2,133,133,131,131,snapshot_2026_07_06.json,snapshot_2026_07_03.json
128,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,2,2,128,128,126,126,snapshot_2026_07_06.json,snapshot_2026_07_03.json
129,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,2,2,125,125,123,123,snapshot_2026_07_06.json,snapshot_2026_07_03.json
130,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,2,2,107,107,105,105,snapshot_2026_07_06.json,snapshot_2026_07_03.json
131,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,2,2,102,102,100,100,snapshot_2026_07_06.json,snapshot_2026_07_03.json
132,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,101,101,99,99,snapshot_2026_07_06.json,snapshot_2026_07_03.json
133,map,yukina-tw-hsinchu,新竹 (Hsinchu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,95,95,93,93,snapshot_2026_07_06.json,snapshot_2026_07_03.json
134,map,yukina-cz-ceske-budejovice,České Budějovice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,43,43,41,41,snapshot_2026_07_06.json,snapshot_2026_07_03.json
135,map,kristiansand-no,Kristiansand,rslurry,slurry,https://github.com/rslurry,2,2,32,32,30,30,snapshot_2026_07_06.json,snapshot_2026_07_03.json
136,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,421,421,420,420,snapshot_2026_07_06.json,snapshot_2026_07_03.json
137,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,1,1,394,394,393,393,snapshot_2026_07_06.json,snapshot_2026_07_03.json
138,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,382,382,381,381,snapshot_2026_07_06.json,snapshot_2026_07_03.json
139,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,1,1,313,313,312,312,snapshot_2026_07_06.json,snapshot_2026_07_03.json
140,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,1,1,305,305,304,304,snapshot_2026_07_06.json,snapshot_2026_07_03.json
141,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,1,262,262,261,261,snapshot_2026_07_06.json,snapshot_2026_07_03.json
142,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,261,261,260,260,snapshot_2026_07_06.json,snapshot_2026_07_03.json
143,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,1,244,244,243,243,snapshot_2026_07_06.json,snapshot_2026_07_03.json
144,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,234,234,233,233,snapshot_2026_07_06.json,snapshot_2026_07_03.json
145,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,1,227,227,226,226,snapshot_2026_07_06.json,snapshot_2026_07_03.json
146,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,210,210,209,209,snapshot_2026_07_06.json,snapshot_2026_07_03.json
147,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,193,193,192,192,snapshot_2026_07_06.json,snapshot_2026_07_03.json
148,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,187,187,186,186,snapshot_2026_07_06.json,snapshot_2026_07_03.json
149,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,1,1,184,184,183,183,snapshot_2026_07_06.json,snapshot_2026_07_03.json
150,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,183,183,182,182,snapshot_2026_07_06.json,snapshot_2026_07_03.json
151,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,180,180,179,179,snapshot_2026_07_06.json,snapshot_2026_07_03.json
152,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,179,179,178,178,snapshot_2026_07_06.json,snapshot_2026_07_03.json
153,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,1,1,178,178,177,177,snapshot_2026_07_06.json,snapshot_2026_07_03.json
154,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,173,173,172,172,snapshot_2026_07_06.json,snapshot_2026_07_03.json
155,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,172,172,171,171,snapshot_2026_07_06.json,snapshot_2026_07_03.json
156,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,1,1,162,162,161,161,snapshot_2026_07_06.json,snapshot_2026_07_03.json
157,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,1,1,160,160,159,159,snapshot_2026_07_06.json,snapshot_2026_07_03.json
158,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,1,1,154,154,153,153,snapshot_2026_07_06.json,snapshot_2026_07_03.json
159,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,144,144,143,143,snapshot_2026_07_06.json,snapshot_2026_07_03.json
160,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,143,143,142,142,snapshot_2026_07_06.json,snapshot_2026_07_03.json
