listing_type,id,name,project_key,project_name
map,yukina-okayama,岡山 (Okayama),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-okinawa,沖縄 (Okinawa),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-osaka,大阪 (Ōsaka),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-sendai,仙台 (Sendai),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-takamatsu,高松 (Takamatsu),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-tottori,鳥取 (Tottori),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-toyama,富山 (Toyama),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-tsugaru,津軽 (Tsugaru),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
map,yukina-yamagata,山形 (Yamagata),ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps
mod,subwaybuilder-regions,Regions,ahkimn/subwaybuilder-regions,subwaybuilder-regions
map,yukina-tw-chiayi,嘉義 (Chiayi),ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps
map,yukina-tw-hsinchu,新竹 (Hsinchu),ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps
map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps
map,yukina-tw-taichung,臺中 (Taichung),ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps
map,yukina-tw-tainan,臺南 (Tainan),ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps
map,yukina-tw-taipei,臺北 (Taipei),ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps
map,jerusalem,Jerusalem,barkuperman/jerusalem-sb-map,jerusalem-sb-map
mod,orbital-surveyor,Orbital Surveyor,barkuperman/orbital-surveyor,orbital-surveyor
map,tel-aviv,Tel Aviv,barkuperman/tlv-mod,TLV-mod
mod,transit-overlay,Transit Overlay,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod
map,akron-oh,"Akron, OH",bean1322/akron-oh-map,akron-oh-map
map,toledo-oh,Toledo,bean1322/toledo-oh-map.git,toledo-oh-map.git
mod,simple-trains,Simple Trains,bobby-047/some-new-trains,Some-new-Trains
map,opo-pt-metropolitan,"Porto, Portugal",bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo
map,mfn-hong-kong,Hong Kong,crumpetime/sb-maps-hkg,sb-maps-hkg
map,mfn-lasvegas,Las Vegas,crumpetime/sb-maps-las,sb-maps-las
map,mfn-madisonwi,Madison,crumpetime/sb-maps-msn,sb-maps-msn
map,mfn-msy,New Orleans,crumpetime/sb-maps-msy,sb-maps-msy
map,mfn-hamptonroads,Norfolk,crumpetime/sb-maps-orf,sb-maps-orf
map,mfn-rdu,Raleigh,crumpetime/sb-maps-rdu,sb-maps-rdu
map,mfn-northwestar,Northwest Arkansas,crumpetime/sb-maps-xna,sb-maps-xna
mod,distance-circles,Station Catchment Viewer,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles
mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",danield1909/dantrains,danTrains
map,greatertwincities,Greater Twin Cities,danield1909/improvedtwincities,improvedTwinCities
map,calgary,Calgary,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
map,edmonton,Edmonton,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
map,montreal,Montreal,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
map,ottawa,Ottawa,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
map,quebec-city,Quebec City,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
map,toronto,Toronto,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
map,vancouver,Vancouver,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
map,winnipeg,Winnipeg,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps
mod,citymapper,Citymapper,gio1112/subway-builder-citymapper,subway-builder-citymapper
mod,tod,Transit-Oriented Development[beta],hsullivan1201/sb-tod,sb-tod
map,jelegend-tokyo,東京 (Tokyo),jelegend/subwaybuilder,subwaybuilder
mod,chinese-trains,Chinese Trains,kaicardenas0618/chinese-trains,chinese-trains
mod,japanese-trains,Japanese Trains,kaicardenas0618/japanese-trains,japanese-trains
mod,lrt-trains,LRT Trains,kaicardenas0618/lrt-trains,lrt-trains
map,arequipa,Arequipa,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,chiclayo,Chiclayo,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,chimbote,Chimbote,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,cusco,Cusco,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,huancayo-jauja,Huancayo/Jauja,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,iquitos,Iquitos,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,lima,Lima,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,piura,Piura,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,trujillo,Trujillo,kaicardenas0618/subway-builder-peru,subway-builder-peru
map,south-florida,South Florida,kaicardenas0618/subway-builder-sfl,subway-builder-sfl
map,busan-3,Busan (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,busan-4,Busan (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
