rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
57,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,8,8,156,156,148,148,snapshot_2026_07_06.json,snapshot_2026_06_29.json
58,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,7,7,160,160,153,153,snapshot_2026_07_06.json,snapshot_2026_06_29.json
59,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,6,6,244,244,238,238,snapshot_2026_07_06.json,snapshot_2026_06_29.json
60,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,6,6,179,179,173,173,snapshot_2026_07_06.json,snapshot_2026_06_29.json
61,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,6,6,133,133,127,127,snapshot_2026_07_06.json,snapshot_2026_06_29.json
62,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,5,5,227,227,222,222,snapshot_2026_07_06.json,snapshot_2026_06_29.json
63,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,5,5,183,183,178,178,snapshot_2026_07_06.json,snapshot_2026_06_29.json
64,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,5,5,142,142,137,137,snapshot_2026_07_06.json,snapshot_2026_06_29.json
65,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,4,4,262,262,258,258,snapshot_2026_07_06.json,snapshot_2026_06_29.json
66,pswbsf/pyongyang-nk,pyongyang-nk,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,4,4,143,143,139,139,snapshot_2026_07_06.json,snapshot_2026_06_29.json
67,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,4,4,117,117,113,113,snapshot_2026_07_06.json,snapshot_2026_06_29.json
68,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,3,3,305,305,302,302,snapshot_2026_07_06.json,snapshot_2026_06_29.json
69,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,3,3,187,187,184,184,snapshot_2026_07_06.json,snapshot_2026_06_29.json
70,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,3,3,107,107,104,104,snapshot_2026_07_06.json,snapshot_2026_06_29.json
71,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,3,3,101,101,98,98,snapshot_2026_07_06.json,snapshot_2026_06_29.json
72,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,2,2,193,193,191,191,snapshot_2026_07_06.json,snapshot_2026_06_29.json
73,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,2,2,172,172,170,170,snapshot_2026_07_06.json,snapshot_2026_06_29.json
74,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,140,140,138,138,snapshot_2026_07_06.json,snapshot_2026_06_29.json
75,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,2,2,135,135,133,133,snapshot_2026_07_06.json,snapshot_2026_06_29.json
76,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,99,99,97,97,snapshot_2026_07_06.json,snapshot_2026_06_29.json
77,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,71,71,69,69,snapshot_2026_07_06.json,snapshot_2026_06_29.json
78,pswbsf/syracuse-ny,syracuse-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,54,54,52,52,snapshot_2026_07_06.json,snapshot_2026_06_29.json
79,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,2,2,42,42,40,40,snapshot_2026_07_06.json,snapshot_2026_06_29.json
80,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,1,1,92,92,91,91,snapshot_2026_07_06.json,snapshot_2026_06_29.json
81,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,90,90,89,89,snapshot_2026_07_06.json,snapshot_2026_06_29.json
82,bean1322/toledo-oh-map.git,toledo-oh-map.git,bean1322,bean1322,https://github.com/bean1322,1,1,1,44,44,43,43,snapshot_2026_07_06.json,snapshot_2026_06_29.json
83,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,140,140,140,140,snapshot_2026_07_06.json,snapshot_2026_06_29.json
84,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,110,110,110,110,snapshot_2026_07_06.json,snapshot_2026_06_29.json
