rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,449,449,1453,1453,1004,1004,snapshot_2026_07_06.json,snapshot_2026_06_29.json
2,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,383,383,3512,3512,3129,3129,snapshot_2026_07_06.json,snapshot_2026_06_29.json
3,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,356,356,8348,8348,7992,7992,snapshot_2026_07_06.json,snapshot_2026_06_29.json
4,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,38,347,347,5013,5013,4666,4666,snapshot_2026_07_06.json,snapshot_2026_06_29.json
5,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,330,337,12171,12123,11841,11786,snapshot_2026_07_06.json,snapshot_2026_06_29.json
6,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,302,302,302,302,0,0,snapshot_2026_07_06.json,snapshot_2026_06_29.json
7,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,287,287,2190,2190,1903,1903,snapshot_2026_07_06.json,snapshot_2026_06_29.json
8,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,5,275,275,2272,2272,1997,1997,snapshot_2026_07_06.json,snapshot_2026_06_29.json
9,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,201,201,552,552,351,351,snapshot_2026_07_06.json,snapshot_2026_06_29.json
10,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,194,194,263,263,69,69,snapshot_2026_07_06.json,snapshot_2026_06_29.json
11,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,185,185,6598,6598,6413,6413,snapshot_2026_07_06.json,snapshot_2026_06_29.json
12,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,181,181,1148,1148,967,967,snapshot_2026_07_06.json,snapshot_2026_06_29.json
13,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,176,176,2034,2034,1858,1858,snapshot_2026_07_06.json,snapshot_2026_06_29.json
14,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,175,175,1831,1831,1656,1656,snapshot_2026_07_06.json,snapshot_2026_06_29.json
15,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,169,169,6595,6595,6426,6426,snapshot_2026_07_06.json,snapshot_2026_06_29.json
16,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,160,160,484,484,324,324,snapshot_2026_07_06.json,snapshot_2026_06_29.json
17,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,151,151,3055,3055,2904,2904,snapshot_2026_07_06.json,snapshot_2026_06_29.json
18,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,147,147,2484,2484,2337,2337,snapshot_2026_07_06.json,snapshot_2026_06_29.json
19,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,147,147,492,492,345,345,snapshot_2026_07_06.json,snapshot_2026_06_29.json
20,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,145,145,1610,1610,1465,1465,snapshot_2026_07_06.json,snapshot_2026_06_29.json
21,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,144,144,7533,7533,7389,7389,snapshot_2026_07_06.json,snapshot_2026_06_29.json
22,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,144,144,2209,2209,2065,2065,snapshot_2026_07_06.json,snapshot_2026_06_29.json
23,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,117,117,1469,1469,1352,1352,snapshot_2026_07_06.json,snapshot_2026_06_29.json
24,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,115,115,459,459,344,344,snapshot_2026_07_06.json,snapshot_2026_06_29.json
25,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,111,111,1178,1178,1067,1067,snapshot_2026_07_06.json,snapshot_2026_06_29.json
26,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,98,98,1020,1020,922,922,snapshot_2026_07_06.json,snapshot_2026_06_29.json
27,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,95,95,2778,2778,2683,2683,snapshot_2026_07_06.json,snapshot_2026_06_29.json
28,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,93,93,1807,1807,1714,1714,snapshot_2026_07_06.json,snapshot_2026_06_29.json
29,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,88,88,315,315,227,227,snapshot_2026_07_06.json,snapshot_2026_06_29.json
30,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,85,85,1850,1850,1765,1765,snapshot_2026_07_06.json,snapshot_2026_06_29.json
31,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,84,84,457,457,373,373,snapshot_2026_07_06.json,snapshot_2026_06_29.json
32,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,77,77,2878,2878,2801,2801,snapshot_2026_07_06.json,snapshot_2026_06_29.json
33,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,77,77,2708,2708,2631,2631,snapshot_2026_07_06.json,snapshot_2026_06_29.json
34,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,75,75,1312,1312,1237,1237,snapshot_2026_07_06.json,snapshot_2026_06_29.json
35,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,69,69,1683,1683,1614,1614,snapshot_2026_07_06.json,snapshot_2026_06_29.json
36,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,57,57,2461,2461,2404,2404,snapshot_2026_07_06.json,snapshot_2026_06_29.json
37,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,57,57,2042,2042,1985,1985,snapshot_2026_07_06.json,snapshot_2026_06_29.json
38,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,35,35,1054,1054,1019,1019,snapshot_2026_07_06.json,snapshot_2026_06_29.json
39,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,34,34,1209,1209,1175,1175,snapshot_2026_07_06.json,snapshot_2026_06_29.json
40,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,33,33,538,538,505,505,snapshot_2026_07_06.json,snapshot_2026_06_29.json
41,kaicardenas0618/subway-builder-peru,subway-builder-peru,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,9,30,30,465,465,435,435,snapshot_2026_07_06.json,snapshot_2026_06_29.json
42,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,28,73,256,256,228,183,snapshot_2026_07_06.json,snapshot_2026_06_29.json
43,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,24,24,330,330,306,306,snapshot_2026_07_06.json,snapshot_2026_06_29.json
44,seanyushoumori/copy-paste,copy-paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,22,22,63,63,41,41,snapshot_2026_07_06.json,snapshot_2026_06_29.json
45,crumpetime/sb-maps-msy,sb-maps-msy,crumpetime,muffintime,https://github.com/crumpetime,1,20,20,111,111,91,91,snapshot_2026_07_06.json,snapshot_2026_06_29.json
46,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,19,19,963,963,944,944,snapshot_2026_07_06.json,snapshot_2026_06_29.json
47,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,16,16,743,743,727,727,snapshot_2026_07_06.json,snapshot_2026_06_29.json
48,nzh0172/sb-bangkok,sb-bangkok,nzh0172,naz,https://github.com/nzh0172,1,15,15,333,333,318,318,snapshot_2026_07_06.json,snapshot_2026_06_29.json
49,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,bquelhas,bquelhas,https://github.com/bquelhas,1,14,14,248,248,234,234,snapshot_2026_07_06.json,snapshot_2026_06_29.json
50,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,12,12,545,545,533,533,snapshot_2026_07_06.json,snapshot_2026_06_29.json
51,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,11,11,313,313,302,302,snapshot_2026_07_06.json,snapshot_2026_06_29.json
52,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,10,10,504,504,494,494,snapshot_2026_07_06.json,snapshot_2026_06_29.json
53,lechicken-nyc/greater-new-york,greater-new-york,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,10,10,355,355,345,345,snapshot_2026_07_06.json,snapshot_2026_06_29.json
54,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,kimth9,kimth9,https://github.com/kimth9,1,10,10,314,314,304,304,snapshot_2026_07_06.json,snapshot_2026_06_29.json
55,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,9,9,444,444,435,435,snapshot_2026_07_06.json,snapshot_2026_06_29.json
56,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,8,8,309,309,301,301,snapshot_2026_07_06.json,snapshot_2026_06_29.json
