rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
50,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,549,549,snapshot_2026_07_06.json
51,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,545,545,snapshot_2026_07_06.json
52,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,538,538,snapshot_2026_07_06.json
53,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,522,522,snapshot_2026_07_06.json
54,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,512,512,snapshot_2026_07_06.json
55,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,509,509,snapshot_2026_07_06.json
56,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,504,504,snapshot_2026_07_06.json
57,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,495,495,snapshot_2026_07_06.json
58,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,492,492,snapshot_2026_07_06.json
59,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,490,490,snapshot_2026_07_06.json
60,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,489,489,snapshot_2026_07_06.json
61,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,485,485,snapshot_2026_07_06.json
62,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,484,484,snapshot_2026_07_06.json
63,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,459,459,snapshot_2026_07_06.json
64,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,458,458,snapshot_2026_07_06.json
65,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,457,457,snapshot_2026_07_06.json
66,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,456,456,snapshot_2026_07_06.json
67,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,444,444,snapshot_2026_07_06.json
68,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,424,424,snapshot_2026_07_06.json
69,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,421,421,snapshot_2026_07_06.json
70,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,420,420,snapshot_2026_07_06.json
71,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,419,419,snapshot_2026_07_06.json
72,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,413,413,snapshot_2026_07_06.json
