rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
22,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,18,18,263,263,245,245,snapshot_2026_07_06.json,snapshot_2026_07_05.json
23,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,17,17,2878,2878,2861,2861,snapshot_2026_07_06.json,snapshot_2026_07_05.json
24,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,17,17,2484,2484,2467,2467,snapshot_2026_07_06.json,snapshot_2026_07_05.json
25,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,17,17,459,459,442,442,snapshot_2026_07_06.json,snapshot_2026_07_05.json
26,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,14,14,492,492,478,478,snapshot_2026_07_06.json,snapshot_2026_07_05.json
27,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,13,13,1469,1469,1456,1456,snapshot_2026_07_06.json,snapshot_2026_07_05.json
28,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,13,13,1312,1312,1299,1299,snapshot_2026_07_06.json,snapshot_2026_07_05.json
29,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,13,13,1178,1178,1165,1165,snapshot_2026_07_06.json,snapshot_2026_07_05.json
30,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,13,13,315,315,302,302,snapshot_2026_07_06.json,snapshot_2026_07_05.json
31,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,12,12,256,256,244,244,snapshot_2026_07_06.json,snapshot_2026_07_05.json
32,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,11,11,457,457,446,446,snapshot_2026_07_06.json,snapshot_2026_07_05.json
33,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,10,10,2708,2708,2698,2698,snapshot_2026_07_06.json,snapshot_2026_07_05.json
34,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,9,9,2461,2461,2452,2452,snapshot_2026_07_06.json,snapshot_2026_07_05.json
35,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,9,9,1807,1807,1798,1798,snapshot_2026_07_06.json,snapshot_2026_07_05.json
36,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,8,8,2042,2042,2034,2034,snapshot_2026_07_06.json,snapshot_2026_07_05.json
37,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,8,8,1850,1850,1842,1842,snapshot_2026_07_06.json,snapshot_2026_07_05.json
38,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,7,7,1683,1683,1676,1676,snapshot_2026_07_06.json,snapshot_2026_07_05.json
39,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,6,6,1054,1054,1048,1048,snapshot_2026_07_06.json,snapshot_2026_07_05.json
40,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,5,5,1209,1209,1204,1204,snapshot_2026_07_06.json,snapshot_2026_07_05.json
41,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,5,5,309,309,304,304,snapshot_2026_07_06.json,snapshot_2026_07_05.json
42,crumpetime/sb-maps-msy,sb-maps-msy,crumpetime,muffintime,https://github.com/crumpetime,1,5,5,111,111,106,106,snapshot_2026_07_06.json,snapshot_2026_07_05.json
43,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,4,4,963,963,959,959,snapshot_2026_07_06.json,snapshot_2026_07_05.json
44,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,3,3,743,743,740,740,snapshot_2026_07_06.json,snapshot_2026_07_05.json
45,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,3,3,538,538,535,535,snapshot_2026_07_06.json,snapshot_2026_07_05.json
46,nzh0172/sb-bangkok,sb-bangkok,nzh0172,naz,https://github.com/nzh0172,1,3,3,333,333,330,330,snapshot_2026_07_06.json,snapshot_2026_07_05.json
47,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,3,3,330,330,327,327,snapshot_2026_07_06.json,snapshot_2026_07_05.json
48,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,bquelhas,bquelhas,https://github.com/bquelhas,1,3,3,248,248,245,245,snapshot_2026_07_06.json,snapshot_2026_07_05.json
49,seanyushoumori/copy-paste,copy-paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,3,3,63,63,60,60,snapshot_2026_07_06.json,snapshot_2026_07_05.json
50,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,2,2,545,545,543,543,snapshot_2026_07_06.json,snapshot_2026_07_05.json
51,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,2,2,444,444,442,442,snapshot_2026_07_06.json,snapshot_2026_07_05.json
52,lechicken-nyc/greater-new-york,greater-new-york,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,2,2,355,355,353,353,snapshot_2026_07_06.json,snapshot_2026_07_05.json
53,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,179,179,177,177,snapshot_2026_07_06.json,snapshot_2026_07_05.json
54,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,2,2,117,117,115,115,snapshot_2026_07_06.json,snapshot_2026_07_05.json
55,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,1,1,504,504,503,503,snapshot_2026_07_06.json,snapshot_2026_07_05.json
56,kaicardenas0618/subway-builder-peru,subway-builder-peru,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,9,1,1,465,465,464,464,snapshot_2026_07_06.json,snapshot_2026_07_05.json
57,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,1,193,193,192,192,snapshot_2026_07_06.json,snapshot_2026_07_05.json
58,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,1,183,183,182,182,snapshot_2026_07_06.json,snapshot_2026_07_05.json
59,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,1,1,156,156,155,155,snapshot_2026_07_06.json,snapshot_2026_07_05.json
60,pswbsf/pyongyang-nk,pyongyang-nk,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,143,143,142,142,snapshot_2026_07_06.json,snapshot_2026_07_05.json
61,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,133,133,132,132,snapshot_2026_07_06.json,snapshot_2026_07_05.json
62,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,1,107,107,106,106,snapshot_2026_07_06.json,snapshot_2026_07_05.json
63,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,101,101,100,100,snapshot_2026_07_06.json,snapshot_2026_07_05.json
64,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,99,99,98,98,snapshot_2026_07_06.json,snapshot_2026_07_05.json
65,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,90,90,89,89,snapshot_2026_07_06.json,snapshot_2026_07_05.json
66,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,71,71,70,70,snapshot_2026_07_06.json,snapshot_2026_07_05.json
67,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,kimth9,kimth9,https://github.com/kimth9,1,0,0,314,314,314,314,snapshot_2026_07_06.json,snapshot_2026_07_05.json
68,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,0,0,313,313,313,313,snapshot_2026_07_06.json,snapshot_2026_07_05.json
69,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,305,305,305,305,snapshot_2026_07_06.json,snapshot_2026_07_05.json
70,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,0,0,262,262,262,262,snapshot_2026_07_06.json,snapshot_2026_07_05.json
71,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,0,0,244,244,244,244,snapshot_2026_07_06.json,snapshot_2026_07_05.json
72,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,0,0,227,227,227,227,snapshot_2026_07_06.json,snapshot_2026_07_05.json
73,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,187,187,187,187,snapshot_2026_07_06.json,snapshot_2026_07_05.json
74,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,172,172,172,172,snapshot_2026_07_06.json,snapshot_2026_07_05.json
75,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,0,160,160,160,160,snapshot_2026_07_06.json,snapshot_2026_07_05.json
76,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,142,142,142,142,snapshot_2026_07_06.json,snapshot_2026_07_05.json
77,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,140,140,140,140,snapshot_2026_07_06.json,snapshot_2026_07_05.json
78,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,140,140,140,140,snapshot_2026_07_06.json,snapshot_2026_07_05.json
79,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,135,135,135,135,snapshot_2026_07_06.json,snapshot_2026_07_05.json
80,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,110,110,110,110,snapshot_2026_07_06.json,snapshot_2026_07_05.json
81,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,92,92,92,92,snapshot_2026_07_06.json,snapshot_2026_07_05.json
82,pswbsf/syracuse-ny,syracuse-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,54,54,54,54,snapshot_2026_07_06.json,snapshot_2026_07_05.json
83,bean1322/toledo-oh-map.git,toledo-oh-map.git,bean1322,bean1322,https://github.com/bean1322,1,0,0,44,44,44,44,snapshot_2026_07_06.json,snapshot_2026_07_05.json
84,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,0,0,42,42,42,42,snapshot_2026_07_06.json,snapshot_2026_07_05.json
