rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,115,115,2190,2190,2075,2075,snapshot_2026_07_06.json,snapshot_2026_07_05.json
2,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,74,74,1453,1453,1379,1379,snapshot_2026_07_06.json,snapshot_2026_07_05.json
3,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,64,64,302,302,238,238,snapshot_2026_07_06.json,snapshot_2026_07_05.json
4,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,38,60,60,5013,5013,4953,4953,snapshot_2026_07_06.json,snapshot_2026_07_05.json
5,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,45,45,12171,12123,12126,12078,snapshot_2026_07_06.json,snapshot_2026_07_05.json
6,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,44,44,3512,3512,3468,3468,snapshot_2026_07_06.json,snapshot_2026_07_05.json
7,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,5,44,44,2272,2272,2228,2228,snapshot_2026_07_06.json,snapshot_2026_07_05.json
8,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,42,42,8348,8348,8306,8306,snapshot_2026_07_06.json,snapshot_2026_07_05.json
9,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,32,32,6595,6595,6563,6563,snapshot_2026_07_06.json,snapshot_2026_07_05.json
10,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,26,26,2034,2034,2008,2008,snapshot_2026_07_06.json,snapshot_2026_07_05.json
11,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,25,25,6598,6598,6573,6573,snapshot_2026_07_06.json,snapshot_2026_07_05.json
12,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,25,25,2778,2778,2753,2753,snapshot_2026_07_06.json,snapshot_2026_07_05.json
13,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,25,25,1148,1148,1123,1123,snapshot_2026_07_06.json,snapshot_2026_07_05.json
14,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,24,24,1831,1831,1807,1807,snapshot_2026_07_06.json,snapshot_2026_07_05.json
15,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,23,23,3055,3055,3032,3032,snapshot_2026_07_06.json,snapshot_2026_07_05.json
16,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,22,22,7533,7533,7511,7511,snapshot_2026_07_06.json,snapshot_2026_07_05.json
17,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,20,20,2209,2209,2189,2189,snapshot_2026_07_06.json,snapshot_2026_07_05.json
18,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,20,20,1610,1610,1590,1590,snapshot_2026_07_06.json,snapshot_2026_07_05.json
19,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,19,19,552,552,533,533,snapshot_2026_07_06.json,snapshot_2026_07_05.json
20,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,19,19,484,484,465,465,snapshot_2026_07_06.json,snapshot_2026_07_05.json
21,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,18,18,1020,1020,1002,1002,snapshot_2026_07_06.json,snapshot_2026_07_05.json
