author,author_alias,attribution_link,asset_count,map_count,mod_count,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31,2026_04_01,2026_04_02,2026_04_03,2026_04_04,2026_04_05,2026_04_06,2026_04_07,2026_04_08,2026_04_09,2026_04_10,2026_04_11,2026_04_12,2026_04_13,2026_04_14,2026_04_15,2026_04_16,2026_04_17,2026_04_18,2026_04_19,2026_04_20,2026_04_21,2026_04_22,2026_04_23,2026_04_24,2026_04_25,2026_04_26,2026_04_27,2026_04_28,2026_04_29,2026_04_30,2026_05_01,2026_05_02,2026_05_03,2026_05_04,2026_05_05,2026_05_06,2026_05_07,2026_05_08,2026_05_09,2026_05_10,2026_05_11,2026_05_12,2026_05_13,2026_05_14,2026_05_15,2026_05_16,2026_05_17,2026_05_18,2026_05_19,2026_05_20,2026_05_21,2026_05_22,2026_05_23,2026_05_24,2026_05_25,2026_05_26,2026_05_27,2026_05_28,2026_05_29,2026_05_30,2026_05_31,2026_06_01,2026_06_02,2026_06_03,2026_06_04,2026_06_05,2026_06_06,2026_06_07,2026_06_08,2026_06_09,2026_06_10,2026_06_11,2026_06_12,2026_06_13,2026_06_14,2026_06_15,2026_06_16,2026_06_17,2026_06_18,2026_06_19,2026_06_20,2026_06_21,2026_06_22,2026_06_23,2026_06_24,2026_06_25,2026_06_26,2026_06_27,2026_06_28,2026_06_29,2026_06_30,2026_07_01,2026_07_02,2026_07_03,2026_07_04,2026_07_05,2026_07_06
ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,73,1,17284,522,92,82,71,176,103,43,51,58,41,59,38,75,74,92,91,112,120,155,286,147,220,121,107,126,258,236,203,244,204,191,180,229,164,94,117,78,166,78,200,169,96,164,111,110,88,195,282,278,156,95,143,134,198,176,136,133,119,135,95,96,115,120,148,158,194,126,151,112,247,271,166,126,116,170,235,209,136,165,95,122,129,97,302,274,246,179,182,184,203,120,106,145,131,255,143,184,79,125,170,175,146,107,155,106,100,70,82,116,123,144,80,154,77,47,120,121,112
rslurry,slurry,https://github.com/rslurry,33,33,0,12171,103,22,15,61,77,24,43,23,32,39,61,34,69,31,43,53,62,35,62,131,62,124,90,75,84,140,124,202,264,166,289,269,267,135,122,110,83,194,209,188,219,219,208,174,105,125,135,216,246,173,130,103,113,207,223,139,89,108,109,148,135,147,111,103,98,139,128,118,94,121,64,76,66,89,102,142,102,69,81,95,83,106,114,94,56,70,64,65,113,101,79,72,81,67,109,53,92,48,58,58,60,59,44,91,50,74,62,62,67,100,103,67,86,37,23,40,32,45
stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,8348,233,42,63,55,34,41,66,34,32,47,43,40,44,33,47,39,61,65,97,142,157,164,91,84,91,135,249,147,170,166,186,202,162,116,74,74,66,178,127,184,212,116,105,58,64,173,196,172,102,103,74,75,66,78,76,63,42,43,64,50,62,66,61,44,54,45,48,43,28,36,31,30,35,39,34,31,25,22,41,38,26,37,53,34,37,30,31,28,32,43,41,38,45,49,38,39,44,26,18,14,33,39,34,48,35,52,46,41,43,45,47,59,97,44,45,30,39,42
Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,7217,0,0,0,0,2,16,43,39,38,50,49,37,54,53,65,58,39,34,45,169,134,90,34,30,43,91,86,44,231,120,142,137,177,147,103,130,91,87,103,113,110,61,77,56,57,103,132,124,96,73,62,71,80,88,77,75,67,61,62,70,75,61,66,50,72,37,42,52,45,55,37,44,31,38,53,45,44,45,51,48,41,56,58,44,44,27,47,36,42,48,47,41,42,51,42,52,53,25,29,32,42,43,31,52,28,44,41,45,49,58,33,62,110,39,41,42,27,56
kimth9,kimth9,https://github.com/kimth9,20,19,1,6909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,345,298,200,144,187,139,166,173,72,129,140,198,134,186,125,115,41,96,144,107,97,89,68,90,111,117,74,41,69,84,82,99,50,30,52,60,34,50,75,68,140,70,39,50,83,64,35,79,66,57,39,36,12,39,40,82,28,17,40,34,98,24,83,42,22,24,33,17,50,18,21,43,55,44,37,49,40,19,28,27,27,27,19,32
devenperez,devenperez,https://github.com/devenperez,8,8,0,6598,1278,54,56,0,139,11,26,54,46,46,62,43,63,53,70,41,39,49,44,123,91,98,74,52,52,69,70,107,145,144,108,106,134,79,66,75,46,38,46,44,46,72,33,41,36,51,53,60,52,44,29,30,39,47,57,29,31,26,46,67,40,42,22,29,36,32,45,27,21,23,35,34,21,52,23,30,35,27,47,22,29,34,35,13,23,32,22,25,35,35,30,33,24,38,38,23,56,22,17,19,46,37,14,30,14,44,22,31,49,38,32,31,54,29,12,20,14,25
crumpetime,muffintime,https://github.com/crumpetime,8,7,1,6523,77,13,30,50,64,40,45,40,32,39,71,65,58,34,58,57,59,44,64,103,76,82,59,56,63,70,73,49,98,60,68,73,122,64,47,57,50,39,65,51,60,40,48,34,41,50,85,93,50,59,36,42,45,63,41,35,30,42,39,39,40,50,39,37,45,30,29,38,20,35,30,23,20,27,34,28,27,18,31,24,37,36,48,22,27,25,22,33,29,56,40,31,30,43,22,35,39,32,16,45,83,112,221,218,100,143,114,102,94,100,92,94,116,80,62,58,44,60
Maximilian284,max02,https://github.com/Maximilian284,18,18,0,5486,57,18,7,25,20,3,0,195,29,7,18,4,16,14,25,63,37,19,32,83,58,246,109,98,109,95,69,88,426,309,438,38,73,41,44,52,24,14,21,30,13,21,26,33,26,35,68,72,61,38,46,42,55,51,51,21,31,27,56,34,47,30,18,41,56,18,29,23,29,46,27,26,22,39,22,35,20,21,20,17,29,25,41,22,17,29,21,14,19,46,37,23,32,16,48,18,38,22,16,18,20,41,17,23,20,33,33,26,25,44,54,22,43,24,13,17,18,35
Kronifer,Kronifer,https://github.com/Kronifer,9,9,0,5149,226,20,33,30,16,8,9,13,18,5,28,15,27,9,20,32,92,63,67,66,76,71,36,43,32,32,25,30,64,41,28,35,58,38,34,42,29,16,22,24,20,13,22,19,19,27,36,78,45,40,76,103,89,61,46,61,50,41,51,47,95,54,64,65,57,48,32,35,56,32,29,44,18,32,35,26,25,12,22,42,61,63,111,104,91,53,63,41,56,68,48,32,55,31,43,37,51,22,30,20,35,33,24,35,25,43,19,42,36,48,42,21,64,33,62,78,34,55
nzh0172,naz,https://github.com/nzh0172,7,5,2,3685,0,0,0,0,0,0,0,0,8,17,17,10,24,16,19,20,39,34,35,40,47,31,40,35,30,78,73,57,82,51,55,63,89,71,44,46,32,34,32,38,39,22,22,16,26,45,64,56,36,30,24,30,42,38,50,29,31,29,26,34,49,59,71,51,54,33,30,42,31,25,34,25,26,20,28,24,33,22,27,22,29,25,37,14,23,18,20,21,17,32,21,27,31,25,29,35,26,14,14,12,33,20,17,21,11,19,27,20,32,33,30,40,70,27,27,25,23,38
BarKuperman,BarKuperman,https://github.com/BarKuperman,4,2,2,3480,151,19,38,30,18,9,22,14,19,25,34,14,22,12,24,18,21,16,16,55,27,34,28,22,26,35,23,16,47,42,35,56,115,62,47,41,40,39,28,37,47,24,21,21,22,25,38,46,26,29,18,25,18,26,30,12,13,17,13,30,22,27,22,18,19,11,18,20,16,18,9,12,15,12,14,21,13,17,21,17,14,13,18,9,17,14,14,20,38,57,42,38,33,33,28,35,37,18,13,23,37,30,16,31,17,17,21,21,9,23,27,69,134,77,52,72,40,53
Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,53,0,0,28,66,62,44,49,33,24,25,26,28,35,31,38,27,22,20,25,28,55,36,21,28,21,25,21,27,27,42,73,59,57,58,43,47,41,40,28,27,26,33,24,20,16,15,21,21,32,15,15,19,15,18,13,15,30,14,15,16,20,14,19,23,17,20,18,21,23,26,24,11,8,18,14,14,11,17,7,17,26,16,16,15,20,23,38,17,14,24,14,17
ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,2461,63,8,23,25,24,6,6,7,7,13,11,1,16,5,31,16,22,21,29,75,34,65,32,21,28,27,27,26,73,35,51,97,91,49,27,45,23,24,21,25,22,21,20,37,37,30,39,38,20,25,25,17,17,30,28,22,15,20,10,23,19,15,11,10,8,27,26,24,15,25,15,10,8,10,14,16,10,6,18,17,22,13,18,10,3,12,15,14,11,16,11,10,12,7,19,8,13,7,10,9,12,13,8,8,10,20,8,9,2,22,22,7,19,7,5,6,4,9
DanielD1909,DanielD1909,https://github.com/DanielD1909,2,1,1,2286,0,0,0,9,37,31,37,40,36,35,32,35,32,23,26,36,60,33,40,57,51,45,21,35,15,35,42,18,41,61,65,47,54,82,37,38,26,30,28,32,33,26,21,14,14,15,36,29,22,28,15,17,17,20,23,18,18,10,8,8,10,23,14,11,7,10,11,14,14,9,7,4,7,6,9,9,10,11,7,8,10,7,23,7,7,7,9,4,5,9,8,11,8,4,2,10,7,6,3,5,4,6,7,8,5,5,14,4,6,6,11,13,13,4,9,12,4,8
jelegend,jelegend,https://github.com/jelegend,1,1,0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,51,43,38,26,61,51,131,116,71,104,65,36,31,38,32,32,40,31,18,13,33,18,29,18,18,21,22,13,18,21,17,18,12,14,11,10,8,17,13,6,16,6,10,13,5,8,15,8,12,11,10,15,11,8,5,9,11,15,18,18,8,12,14,7,13,13,3,10,7,12,14,5,14,11,10,10,11,14,24,43,56,35,23,10,14,34,115
seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,4,0,4,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,35,70,45,55,64,65,46,57,41,73,86,80,54,48,53,56,70,73,78,77,70,68,66,67,49,43,96,100,64,66,47,41,64
Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,2034,0,0,0,0,0,10,18,16,8,21,31,27,24,34,19,33,45,2,0,2,0,0,0,0,0,0,0,0,3,10,79,79,60,45,26,25,16,20,22,16,25,16,13,6,9,16,54,62,39,34,25,26,30,31,26,23,13,16,19,17,16,17,14,15,10,14,8,12,10,10,8,12,8,8,20,8,7,12,11,10,7,13,11,6,9,8,12,4,13,10,11,5,11,14,8,6,3,2,6,2,9,13,55,48,27,35,22,13,23,18,13,36,41,23,17,15,18,26
hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,55,55,84,133,72,110,93,89,74,58,44,44,29,57,41,37,49,41,33,21,35,20,25,34,36,19,16,24,23,25,16,22,22,13,26,23,23,16,33,55,11,24,15,13,24
kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,6,7,4,8,6,4,4,0,0,2,0,1,3,1,6,12,19,8,6,12,6,2,3,2,2,3,4,4,5,2,3,2,4,7,3,13,16,12,13,15,21,12,9,11,8,13,5,7,5,10,9,9,3,7,12,45,48,80,66,46,29,38,52,51,31,46,37,45,39,47,28,19,18,23,59,40,44,40,47,43,47,35,32,30,41,44,29,21,28,39,28
martig7,martig7,https://github.com/martig7,2,0,2,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,140,102,112,116,56,38,57,26,28,35,27,82,83,58,79,65,105,129,113,122,138
PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,13,13,25,17,9,11,22,25,21,61,76,137,0,1,16,18,8,9,13,13,10,10,19,12,14,11,11,17,12,9,10,20,12,22,25,12,15,15,12,7,8,17,17,10,11,18,22,19,19,9,21,24,28,23,38,19,23,32,19,18,19,17,20,16,10,24,14,13,19,17,26,15,15,14,18,16,17,18,21,12,18,14,15,15,19,12,12,11,14,14,14,18,10,13,3,3,2,2,11
soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,1319,64,9,8,25,10,1,14,25,21,8,35,19,36,4,22,17,16,5,9,15,13,26,14,14,11,22,26,7,26,24,35,16,32,28,13,13,12,11,8,6,10,12,24,12,5,7,5,46,9,11,9,1,5,13,8,8,5,8,13,15,10,18,11,7,8,9,12,13,9,13,10,1,6,7,7,9,13,5,4,4,4,4,12,4,4,10,3,10,4,16,9,8,3,0,5,3,3,5,3,4,4,1,7,11,2,4,5,4,6,8,9,4,7,0,0,3,1,7
Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,26,45,26,34,26,75,56,28,22,29,28,38,26,10,25,23,16,34,23,14,21,10,22,20,17,22,23,20,21,16,14,15,17,12,19,11,12,15,10,14,12,9,14,22,8,14,12,21,37,7,14,13,6,13
WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,1054,0,0,0,0,0,0,0,0,0,0,0,5,21,11,10,20,21,20,17,30,15,18,21,13,8,18,13,11,39,18,20,28,29,16,13,19,7,10,12,20,15,13,9,6,8,7,13,13,5,13,4,3,16,10,11,7,11,6,13,8,5,8,12,9,4,5,6,5,13,9,3,4,1,17,3,3,2,5,8,9,13,5,6,4,7,5,6,7,3,6,5,2,5,8,4,5,6,3,8,3,9,7,11,10,5,9,6,6,7,8,5,3,11,4,1,7,3,6
TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,1042,0,0,0,0,0,0,0,0,2,6,4,1,11,15,27,9,21,15,14,28,27,31,34,20,0,1,0,0,7,3,0,0,3,9,11,9,5,5,2,4,2,2,4,3,2,3,6,6,7,6,3,2,6,7,5,1,1,3,2,3,4,21,23,24,22,24,19,11,21,22,13,15,15,11,15,16,12,13,20,14,7,9,10,9,13,12,12,10,12,14,8,13,12,8,8,10,14,9,4,6,6,6,4,7,5,5,9,3,10,4,7,5,11,7,2,11,3,4
