rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
36,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,7,7,420,420,413,413,snapshot_2026_07_06.json,snapshot_2026_07_05.json
37,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,1139,1139,1133,1133,snapshot_2026_07_06.json,snapshot_2026_07_05.json
38,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,6,6,1054,1054,1048,1048,snapshot_2026_07_06.json,snapshot_2026_07_05.json
39,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,6,6,729,729,723,723,snapshot_2026_07_06.json,snapshot_2026_07_05.json
40,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,6,6,549,549,543,543,snapshot_2026_07_06.json,snapshot_2026_07_05.json
41,map,yukina-lv-daugavpils,Daugavpils,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,22,22,16,16,snapshot_2026_07_06.json,snapshot_2026_07_05.json
42,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,5,5,1985,1985,1980,1980,snapshot_2026_07_06.json,snapshot_2026_07_05.json
43,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,5,5,1209,1209,1204,1204,snapshot_2026_07_06.json,snapshot_2026_07_05.json
44,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,5,5,1158,1158,1153,1153,snapshot_2026_07_06.json,snapshot_2026_07_05.json
45,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,914,914,909,909,snapshot_2026_07_06.json,snapshot_2026_07_05.json
46,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,5,5,309,309,304,304,snapshot_2026_07_06.json,snapshot_2026_07_05.json
47,map,mfn-msy,New Orleans,crumpetime,muffintime,https://github.com/crumpetime,5,5,111,111,106,106,snapshot_2026_07_06.json,snapshot_2026_07_05.json
48,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,4,4,1393,1393,1389,1389,snapshot_2026_07_06.json,snapshot_2026_07_05.json
49,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,4,4,1121,1121,1117,1117,snapshot_2026_07_06.json,snapshot_2026_07_05.json
50,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,4,4,963,963,959,959,snapshot_2026_07_06.json,snapshot_2026_07_05.json
51,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,4,4,945,945,941,941,snapshot_2026_07_06.json,snapshot_2026_07_05.json
52,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,940,940,936,936,snapshot_2026_07_06.json,snapshot_2026_07_05.json
53,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,4,4,617,617,613,613,snapshot_2026_07_06.json,snapshot_2026_07_05.json
54,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,456,456,452,452,snapshot_2026_07_06.json,snapshot_2026_07_05.json
55,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,322,322,318,318,snapshot_2026_07_06.json,snapshot_2026_07_05.json
56,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,4,4,258,258,254,254,snapshot_2026_07_06.json,snapshot_2026_07_05.json
57,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,3,3,2884,2884,2881,2881,snapshot_2026_07_06.json,snapshot_2026_07_05.json
58,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,3,3,996,996,993,993,snapshot_2026_07_06.json,snapshot_2026_07_05.json
59,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,3,3,921,921,918,918,snapshot_2026_07_06.json,snapshot_2026_07_05.json
60,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,3,3,743,743,740,740,snapshot_2026_07_06.json,snapshot_2026_07_05.json
61,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,3,3,595,595,592,592,snapshot_2026_07_06.json,snapshot_2026_07_05.json
62,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,3,3,574,574,571,571,snapshot_2026_07_06.json,snapshot_2026_07_05.json
63,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,3,3,538,538,535,535,snapshot_2026_07_06.json,snapshot_2026_07_05.json
64,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,489,489,486,486,snapshot_2026_07_06.json,snapshot_2026_07_05.json
65,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,3,3,413,413,410,410,snapshot_2026_07_06.json,snapshot_2026_07_05.json
66,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,3,3,346,346,343,343,snapshot_2026_07_06.json,snapshot_2026_07_05.json
67,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,3,3,333,333,330,330,snapshot_2026_07_06.json,snapshot_2026_07_05.json
68,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,3,3,330,330,327,327,snapshot_2026_07_06.json,snapshot_2026_07_05.json
69,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,3,3,276,276,273,273,snapshot_2026_07_06.json,snapshot_2026_07_05.json
70,map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,3,3,248,248,245,245,snapshot_2026_07_06.json,snapshot_2026_07_05.json
71,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,3,3,243,243,240,240,snapshot_2026_07_06.json,snapshot_2026_07_05.json
72,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,3,3,213,213,210,210,snapshot_2026_07_06.json,snapshot_2026_07_05.json
73,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,3,3,170,170,167,167,snapshot_2026_07_06.json,snapshot_2026_07_05.json
74,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,3,3,169,169,166,166,snapshot_2026_07_06.json,snapshot_2026_07_05.json
75,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,3,3,163,163,160,160,snapshot_2026_07_06.json,snapshot_2026_07_05.json
76,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,3,3,136,136,133,133,snapshot_2026_07_06.json,snapshot_2026_07_05.json
