rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
202,yukina-asahikawa,旭川 (Asahikawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,AKJ,JP,231968,8448,3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HKD,JP,208369,6819,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,yukina-tottori,鳥取 (Tottori),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TTJ,JP,208067,7355,3216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,TRD,NO,194310,1764,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,ANC,US,189506,10546,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,kristiansand-no,Kristiansand,rslurry,slurry,https://github.com/rslurry,KRS,NO,183459,12405,6806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,yukina-cz-jihlava,Jihlava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,JIH,CZ,182555,13216,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,yukina-cz-ceske-budejovice,České Budějovice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,CBS,CZ,173000,11881,5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,EGE,US,167071,8868,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,GEG,US,157109,16695,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,syracuse-ny,"Syracuse, NY",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,SYR,US,156483,10188,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,CHAI,US,151225,16547,1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,yukina-cz-karlovy-vary,Karlovy Vary,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KVY,CZ,141449,9649,4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,yukina-ee-tartu,Tartu,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TAY,EE,112550,8051,5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,ipoh,Ipoh,nzh0172,naz,https://github.com/nzh0172,IPH,MY,89318,1477,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,WIL,US,83410,3737,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,tromso-no,Tromsø,rslurry,slurry,https://github.com/rslurry,TOS,NO,79068,2479,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,yukina-lv-daugavpils,Daugavpils,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,DGV,LV,59320,4326,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,yukina-ee-ida-viru,Ida-Viru,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,IDV,EE,55158,3198,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,yukina-lv-liepaja,Liepāja,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,LPX,LV,52978,3813,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,yukina-nemuro,根室 (Nemuro),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SHB,JP,44730,3748,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,yukina-ee-parnu,Pärnu,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,EPU,EE,41309,3668,2887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,yukina-wakkanai,稚内 (Wakkanai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,WKJ,JP,40624,2916,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
