rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
106,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,WRO,PL,895967,23753,15301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,YYC,CA,890139,7422,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,HEL,FI,877596,13527,3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,yukina-tw-hsinchu,新竹 (Hsinchu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HSZ,TW,866885,14546,5627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OKA,JP,854048,15658,3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,PEN,MY,852976,6708,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,PRM,IT,841395,9437,5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,BNA,US,838863,60682,2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,huancayo-jauja,Huancayo/Jauja,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,JAU,PE,813602,7366,20943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KMJ,JP,805122,17186,6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,mexicali,Mexicali-Imperial Valley-Yuma,rslurry,slurry,https://github.com/rslurry,MXL,MX,801423,17416,2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,YEG,CA,798307,6612,3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,CJUF,KR,795684,12281,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,cusco,Cusco,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,CUZ,PE,786360,7086,23619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,SJU,PR,773862,9703,2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,CJU4,KR,770019,11188,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,ORF,US,760588,61472,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,SMF,US,755810,55081,2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,MEM,US,739736,39229,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,YOW,CA,738872,6237,3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,bergen-stavanger-no,Bergen-Stavanger,rslurry,slurry,https://github.com/rslurry,BGSV,NO,738475,36559,14831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,DUB,IE,732172,3391,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,LCJ,PL,729453,29196,18976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,AMS,NL,720820,6522,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,RIX,LV,684911,26639,17199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TOY,JP,673188,16717,7405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,BAR,IT,660455,7869,3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
