rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,449,449,1453,1453,1004,1004,snapshot_2026_07_06.json,snapshot_2026_06_29.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,383,383,3512,3512,3129,3129,snapshot_2026_07_06.json,snapshot_2026_06_29.json
3,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,356,356,8348,8348,7992,7992,snapshot_2026_07_06.json,snapshot_2026_06_29.json
4,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,302,302,302,302,0,0,snapshot_2026_07_06.json,snapshot_2026_06_29.json
5,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,287,287,2190,2190,1903,1903,snapshot_2026_07_06.json,snapshot_2026_06_29.json
6,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,201,201,552,552,351,351,snapshot_2026_07_06.json,snapshot_2026_06_29.json
7,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,194,194,263,263,69,69,snapshot_2026_07_06.json,snapshot_2026_06_29.json
8,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,182,182,182,182,0,0,snapshot_2026_07_06.json,snapshot_2026_06_29.json
9,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,181,181,1148,1148,967,967,snapshot_2026_07_06.json,snapshot_2026_06_29.json
10,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,176,176,2034,2034,1858,1858,snapshot_2026_07_06.json,snapshot_2026_06_29.json
11,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,175,175,1831,1831,1656,1656,snapshot_2026_07_06.json,snapshot_2026_06_29.json
12,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,160,160,484,484,324,324,snapshot_2026_07_06.json,snapshot_2026_06_29.json
13,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,151,151,3055,3055,2904,2904,snapshot_2026_07_06.json,snapshot_2026_06_29.json
14,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,147,147,2484,2484,2337,2337,snapshot_2026_07_06.json,snapshot_2026_06_29.json
15,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,147,147,492,492,345,345,snapshot_2026_07_06.json,snapshot_2026_06_29.json
16,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,145,145,1610,1610,1465,1465,snapshot_2026_07_06.json,snapshot_2026_06_29.json
17,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,144,144,2209,2209,2065,2065,snapshot_2026_07_06.json,snapshot_2026_06_29.json
18,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,117,117,1469,1469,1352,1352,snapshot_2026_07_06.json,snapshot_2026_06_29.json
19,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,115,115,459,459,344,344,snapshot_2026_07_06.json,snapshot_2026_06_29.json
20,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,111,111,1178,1178,1067,1067,snapshot_2026_07_06.json,snapshot_2026_06_29.json
21,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,98,98,1020,1020,922,922,snapshot_2026_07_06.json,snapshot_2026_06_29.json
22,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,93,93,1807,1807,1714,1714,snapshot_2026_07_06.json,snapshot_2026_06_29.json
23,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,88,88,315,315,227,227,snapshot_2026_07_06.json,snapshot_2026_06_29.json
24,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,85,85,1850,1850,1765,1765,snapshot_2026_07_06.json,snapshot_2026_06_29.json
25,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,84,84,457,457,373,373,snapshot_2026_07_06.json,snapshot_2026_06_29.json
26,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,75,75,1312,1312,1237,1237,snapshot_2026_07_06.json,snapshot_2026_06_29.json
27,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,75,75,75,75,0,0,snapshot_2026_07_06.json,snapshot_2026_06_29.json
28,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,65,65,2008,2008,1943,1943,snapshot_2026_07_06.json,snapshot_2026_06_29.json
29,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,57,57,2042,2042,1985,1985,snapshot_2026_07_06.json,snapshot_2026_06_29.json
30,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,56,56,2884,2884,2828,2828,snapshot_2026_07_06.json,snapshot_2026_06_29.json
31,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,49,49,1985,1985,1936,1936,snapshot_2026_07_06.json,snapshot_2026_06_29.json
32,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,48,48,549,549,501,501,snapshot_2026_07_06.json,snapshot_2026_06_29.json
33,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,46,46,1139,1139,1093,1093,snapshot_2026_07_06.json,snapshot_2026_06_29.json
34,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,41,41,914,914,873,873,snapshot_2026_07_06.json,snapshot_2026_06_29.json
35,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,38,38,1345,1345,1307,1307,snapshot_2026_07_06.json,snapshot_2026_06_29.json
36,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,36,36,1001,1001,965,965,snapshot_2026_07_06.json,snapshot_2026_06_29.json
37,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,35,35,1568,1568,1533,1533,snapshot_2026_07_06.json,snapshot_2026_06_29.json
38,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,35,35,1054,1054,1019,1019,snapshot_2026_07_06.json,snapshot_2026_06_29.json
39,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,34,34,1209,1209,1175,1175,snapshot_2026_07_06.json,snapshot_2026_06_29.json
40,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,33,33,538,538,505,505,snapshot_2026_07_06.json,snapshot_2026_06_29.json
41,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,32,32,1358,1358,1326,1326,snapshot_2026_07_06.json,snapshot_2026_06_29.json
42,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,32,32,522,522,490,490,snapshot_2026_07_06.json,snapshot_2026_06_29.json
43,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,30,30,1158,1158,1128,1128,snapshot_2026_07_06.json,snapshot_2026_06_29.json
44,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,29,29,1393,1393,1364,1364,snapshot_2026_07_06.json,snapshot_2026_06_29.json
45,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,29,29,1121,1121,1092,1092,snapshot_2026_07_06.json,snapshot_2026_06_29.json
46,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,29,29,945,945,916,916,snapshot_2026_07_06.json,snapshot_2026_06_29.json
47,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,29,29,746,746,717,717,snapshot_2026_07_06.json,snapshot_2026_06_29.json
48,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,28,73,256,256,228,183,snapshot_2026_07_06.json,snapshot_2026_06_29.json
49,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,26,26,996,996,970,970,snapshot_2026_07_06.json,snapshot_2026_06_29.json
50,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,26,26,864,864,838,838,snapshot_2026_07_06.json,snapshot_2026_06_29.json
51,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,26,26,346,346,320,320,snapshot_2026_07_06.json,snapshot_2026_06_29.json
52,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,24,24,921,921,897,897,snapshot_2026_07_06.json,snapshot_2026_06_29.json
53,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,24,24,424,424,400,400,snapshot_2026_07_06.json,snapshot_2026_06_29.json
54,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,24,24,330,330,306,306,snapshot_2026_07_06.json,snapshot_2026_06_29.json
55,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,23,23,595,595,572,572,snapshot_2026_07_06.json,snapshot_2026_06_29.json
56,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,22,22,729,729,707,707,snapshot_2026_07_06.json,snapshot_2026_06_29.json
57,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,22,22,617,617,595,595,snapshot_2026_07_06.json,snapshot_2026_06_29.json
58,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,22,22,456,456,434,434,snapshot_2026_07_06.json,snapshot_2026_06_29.json
59,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,22,22,322,322,300,300,snapshot_2026_07_06.json,snapshot_2026_06_29.json
60,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,22,22,258,258,236,236,snapshot_2026_07_06.json,snapshot_2026_06_29.json
61,mod,copy-paste,Copy Paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,22,22,63,63,41,41,snapshot_2026_07_06.json,snapshot_2026_06_29.json
62,map,yukina-lv-daugavpils,Daugavpils,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,22,22,22,22,0,0,snapshot_2026_07_06.json,snapshot_2026_06_29.json
63,map,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,21,21,285,285,264,264,snapshot_2026_07_06.json,snapshot_2026_06_29.json
64,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,20,20,940,940,920,920,snapshot_2026_07_06.json,snapshot_2026_06_29.json
65,map,mfn-msy,New Orleans,crumpetime,muffintime,https://github.com/crumpetime,20,20,111,111,91,91,snapshot_2026_07_06.json,snapshot_2026_06_29.json
66,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,19,19,963,963,944,944,snapshot_2026_07_06.json,snapshot_2026_06_29.json
67,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,18,18,1182,1182,1164,1164,snapshot_2026_07_06.json,snapshot_2026_06_29.json
68,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,18,18,662,662,644,644,snapshot_2026_07_06.json,snapshot_2026_06_29.json
69,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,17,17,574,574,557,557,snapshot_2026_07_06.json,snapshot_2026_06_29.json
70,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,17,17,512,512,495,495,snapshot_2026_07_06.json,snapshot_2026_06_29.json
71,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,16,16,743,743,727,727,snapshot_2026_07_06.json,snapshot_2026_06_29.json
72,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,16,16,420,420,404,404,snapshot_2026_07_06.json,snapshot_2026_06_29.json
73,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,15,15,333,333,318,318,snapshot_2026_07_06.json,snapshot_2026_06_29.json
74,map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,14,14,248,248,234,234,snapshot_2026_07_06.json,snapshot_2026_06_29.json
75,map,yukina-lv-liepaja,Liepāja,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,14,14,0,0,snapshot_2026_07_06.json,snapshot_2026_06_29.json
76,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,618,618,605,605,snapshot_2026_07_06.json,snapshot_2026_06_29.json
77,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,13,13,458,458,445,445,snapshot_2026_07_06.json,snapshot_2026_06_29.json
78,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,335,335,322,322,snapshot_2026_07_06.json,snapshot_2026_06_29.json
79,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,13,13,276,276,263,263,snapshot_2026_07_06.json,snapshot_2026_06_29.json
80,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,207,207,194,194,snapshot_2026_07_06.json,snapshot_2026_06_29.json
81,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,12,12,545,545,533,533,snapshot_2026_07_06.json,snapshot_2026_06_29.json
82,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,12,12,490,490,478,478,snapshot_2026_07_06.json,snapshot_2026_06_29.json
83,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,12,12,485,485,473,473,snapshot_2026_07_06.json,snapshot_2026_06_29.json
84,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,12,12,419,419,407,407,snapshot_2026_07_06.json,snapshot_2026_06_29.json
85,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,12,12,269,269,257,257,snapshot_2026_07_06.json,snapshot_2026_06_29.json
86,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,12,12,127,127,115,115,snapshot_2026_07_06.json,snapshot_2026_06_29.json
87,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,11,11,509,509,498,498,snapshot_2026_07_06.json,snapshot_2026_06_29.json
88,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,11,11,495,495,484,484,snapshot_2026_07_06.json,snapshot_2026_06_29.json
89,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,11,11,413,413,402,402,snapshot_2026_07_06.json,snapshot_2026_06_29.json
90,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,11,11,313,313,302,302,snapshot_2026_07_06.json,snapshot_2026_06_29.json
91,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,10,10,609,609,599,599,snapshot_2026_07_06.json,snapshot_2026_06_29.json
92,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,10,10,504,504,494,494,snapshot_2026_07_06.json,snapshot_2026_06_29.json
93,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,10,10,392,392,382,382,snapshot_2026_07_06.json,snapshot_2026_06_29.json
94,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,10,10,355,355,345,345,snapshot_2026_07_06.json,snapshot_2026_06_29.json
95,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,10,10,325,325,315,315,snapshot_2026_07_06.json,snapshot_2026_06_29.json
96,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,10,10,318,318,308,308,snapshot_2026_07_06.json,snapshot_2026_06_29.json
97,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,10,10,314,314,304,304,snapshot_2026_07_06.json,snapshot_2026_06_29.json
98,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,489,489,480,480,snapshot_2026_07_06.json,snapshot_2026_06_29.json
99,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,9,9,444,444,435,435,snapshot_2026_07_06.json,snapshot_2026_06_29.json
100,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,9,9,317,317,308,308,snapshot_2026_07_06.json,snapshot_2026_06_29.json
101,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,234,234,225,225,snapshot_2026_07_06.json,snapshot_2026_06_29.json
102,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,8,8,394,394,386,386,snapshot_2026_07_06.json,snapshot_2026_06_29.json
103,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,8,8,309,309,301,301,snapshot_2026_07_06.json,snapshot_2026_06_29.json
104,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,8,8,267,267,259,259,snapshot_2026_07_06.json,snapshot_2026_06_29.json
105,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,8,8,243,243,235,235,snapshot_2026_07_06.json,snapshot_2026_06_29.json
106,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,8,8,230,230,222,222,snapshot_2026_07_06.json,snapshot_2026_06_29.json
107,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,8,8,219,219,211,211,snapshot_2026_07_06.json,snapshot_2026_06_29.json
108,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,8,8,213,213,205,205,snapshot_2026_07_06.json,snapshot_2026_06_29.json
109,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,8,8,169,169,161,161,snapshot_2026_07_06.json,snapshot_2026_06_29.json
110,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,8,8,156,156,148,148,snapshot_2026_07_06.json,snapshot_2026_06_29.json
111,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,192,192,185,185,snapshot_2026_07_06.json,snapshot_2026_06_29.json
112,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,7,7,160,160,153,153,snapshot_2026_07_06.json,snapshot_2026_06_29.json
113,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,7,7,145,145,138,138,snapshot_2026_07_06.json,snapshot_2026_06_29.json
114,map,bergen-stavanger-no,Bergen-Stavanger,rslurry,slurry,https://github.com/rslurry,7,7,103,103,96,96,snapshot_2026_07_06.json,snapshot_2026_06_29.json
115,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,99,99,92,92,snapshot_2026_07_06.json,snapshot_2026_06_29.json
116,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,421,421,415,415,snapshot_2026_07_06.json,snapshot_2026_06_29.json
